cell	prison
sail	boat
butcher	meat
profit	loss
leap	jump
remedy	cure
winter	snow
singer	song
boot	shoe
bloom	flower
breeze	wind
atom	bomb
link	chain
ankle	foot
resort	holiday
roar	lion
boulder	rock
joke	laugh
fabric	cloth
throat	sore
embrace	kiss
timber	wood
fork	knife
bread	butter
wrath	anger
flock	sheep
barrel	beer
sugar	sweet
spark	plug
judge	jury
cage	bird
banner	flag
juice	orange
dream	sleep
silver	gold
core	apple
sketch	draw
steam	engine
umbrella	rain
bosom	breast
express	train
slope	hill
thread	needle
pepper	salt
heap	pile
king	queen
flush	toilet
wreck	ship
injury	hurt
willow	tree
dive	swim
quest	search
brother	sister
diamond	ring
hose	pipe
quack	duck
circle	round
lawn	grass
aunt	uncle
cellar	wine
