vinegar	steel
scratch	fish
pair	dust
poll	shirt
lake	dozen
medicine	artist
roof	victim
bark	mine
plate	knee
planet	post
protest	camp
coin	branch
saloon	pocket
dirt	goal
travel	gift
whisper	coal
track	fence
route	adult
salad	dance
bullet	smoke
palm	trip
turtle	yard
neck	soil
praise	supper
costume	fruit
cook	mirror
village	lady
meadow	curve
sleeve	tape
tune	storm
factory	pencil
wound	coffee
dock	cash
tank	birth
damage	seed
trick	novel
crystal	chin
limp	brush
graph	beauty
dress	card
seal	tube
ribbon	crowd
nest	metal
powder	coast
grip	male
touch	wave
wing	desk
paste	meal
golf	shadow
portrait	iron
hammer	stem
flame	pound
lever	pick
flesh	dollar
shear	chest
cottage	smile
hunt	ocean
guard	suit
faint	gate
nurse	moon
